packed_key,from_node_id,to_node_id,stage2_anchor_source,period,qvdf_start_speed_mph,qvdf_end_speed_mph,boundary_status
343597405213,80,21533,stage1_assignment_speed_mph,PM,16.97235,16.9582,both
347892371336,81,20360,stage1_assignment_speed_mph,PM,16.96025,16.9499,both
347892371699,81,20723,stage1_assignment_speed_mph,PM,16.91785,16.8928,both
347892372530,81,21554,stage1_assignment_speed_mph,PM,16.8972,16.8679,both
352187338630,82,20358,stage1_assignment_speed_mph,PM,16.9949,16.9929,both
352187338968,82,20696,stage1_assignment_speed_mph,PM,16.9979,16.9972,both
352187338981,82,20709,stage1_assignment_speed_mph,PM,16.8304,16.7657,both
352187340201,82,21929,stage1_assignment_speed_mph,PM,16.86985,16.8165,both
356482306253,83,20685,stage1_assignment_speed_mph,PM,16.9913,16.9894,both
356482306254,83,20686,stage1_assignment_speed_mph,PM,16.9871,16.9836,both
356482307507,83,21939,stage1_assignment_speed_mph,PM,16.9869,16.9824,both
360777274419,84,21555,stage1_assignment_speed_mph,PM,16.9871,16.9835,both
360777274420,84,21556,stage1_assignment_speed_mph,PM,16.7919,16.7504,both
360777274803,84,21939,stage1_assignment_speed_mph,PM,16.99,16.9829,both
365072240826,85,20666,stage1_assignment_speed_mph,PM,16.9966,16.9932,both
365072240829,85,20669,stage1_assignment_speed_mph,PM,16.9741,16.9709,both
365072241719,85,21559,stage1_assignment_speed_mph,PM,16.98445,16.98,both
369367208141,86,20685,stage1_assignment_speed_mph,PM,16.9907,16.9898,both
369367209015,86,21559,stage1_assignment_speed_mph,PM,16.96565,16.9593,both
369367209016,86,21560,stage1_assignment_speed_mph,PM,16.9995,16.9994,both
369367209396,86,21940,stage1_assignment_speed_mph,PM,16.98965,16.9864,both
373662175422,87,20670,stage1_assignment_speed_mph,PM,16.95675,16.9436,both
373662175704,87,20952,stage1_assignment_speed_mph,PM,16.95775,16.943,both
377957142716,88,20668,stage1_assignment_speed_mph,PM,28.96235,28.9595,both
377957142718,88,20670,stage1_assignment_speed_mph,PM,28.99435,28.993,both
377957143608,88,21560,stage1_assignment_speed_mph,PM,28.99425,28.9952,both
382252110009,89,20665,stage1_assignment_speed_mph,PM,16.89505,16.8755,both
382252111085,89,21741,stage1_assignment_speed_mph,PM,16.97395,16.9666,both
382252111086,89,21742,stage1_assignment_speed_mph,PM,17.0,17.0,both
386547077316,90,20676,stage1_assignment_speed_mph,PM,22.99895,22.9996,both
386547077317,90,20677,stage1_assignment_speed_mph,PM,22.99135,22.9903,both
386547078201,90,21561,stage1_assignment_speed_mph,PM,22.9919,22.9841,both
386547078202,90,21562,stage1_assignment_speed_mph,PM,22.978,22.9863,both
390842045499,91,21563,stage1_assignment_speed_mph,PM,16.9871,16.9828,both
390842045500,91,21564,stage1_assignment_speed_mph,PM,16.9223,16.9038,both
390842045501,91,21565,stage1_assignment_speed_mph,PM,16.9807,16.9761,both
390842045877,91,21941,stage1_assignment_speed_mph,PM,16.95035,16.9412,both
390842045878,91,21942,stage1_assignment_speed_mph,PM,17.0,17.0,both
395137012798,92,21566,stage1_assignment_speed_mph,PM,16.8402,16.7669,both
399431980095,93,21567,stage1_assignment_speed_mph,PM,16.994,16.9926,both
399431980121,93,21593,stage1_assignment_speed_mph,PM,16.96215,16.9487,both
399431980122,93,21594,stage1_assignment_speed_mph,PM,16.97065,16.9662,both
399431980123,93,21595,stage1_assignment_speed_mph,PM,16.9539,16.9368,both
403726946510,94,20686,stage1_assignment_speed_mph,PM,16.9117,16.8733,both
403726946522,94,20698,stage1_assignment_speed_mph,PM,16.9326,16.9019,both
403726947377,94,21553,stage1_assignment_speed_mph,PM,16.9572,16.9343,both
403726947417,94,21593,stage1_assignment_speed_mph,PM,16.9946,16.9931,both
